contentid,contenttypeid,title,createdtime,modifiedtime,tel,telname,homepage,booktour,firstimage,firstimage2,cpyrhtDivCd,cat1,cat2,cat3,addr1,addr2,zipcode,mapx,mapy,mlevel,overview
1866954,39,감나무집,20131204030755,20231113152613,064-722-8292,감나무집,,,,,,A05,A0502,A05020100,제주특별자치도 제주시 오남로 12,,63191,126.5195597249,33.4941753491,6,"제주에 위치한 감나무집은 숯불구이 전문점이다. 
실내는 좌식, 입식 테이블, 개별룸 등 다양한 좌석이 구비된 널찍한 홀 구조여서 각종 단체 모임을 하기에도 좋다. 소양념갈비(왕갈비), 돼지양념갈비, 돼지 생갈비, 소갈비찜이 대표 메뉴이며 그 외 점심 메뉴로 맛볼 수 있는 흑돼지불고기정식, 차돌국밥, 차돌된장찌개 등이 있다."
2854455,39,감따남,20220915164619,20230206163356,,,"<a href=""https://www.instagram.com/gamttanam_cafe/""target=""_blank"" title=""새창 : 감따남 사이트로 이동"">https://www.instagram.com/gamttanam_cafe/</a>",,http://tong.visitkorea.or.kr/cms/resource/54/2854454_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/54/2854454_image3_1.jpg,Type3,A05,A0502,A05020900,제주특별자치도 서귀포시 월산로 16,1층,63556,126.4946032358,33.2620894948,6,"감따남은 서귀포 중산간서로 근처 올레 7-1코스, 엉또폭포로 향하는 길목에 있다. 이곳에서 3대째 감귤 농사를 짓고 있는 부부가 운영하는 정원 카페다. 반려동물과 함께라면 야외 정원을 이용할 수 있으며, 감따남 스냅 사진작가가 촬영하는 스냅사진을 예약하여 찍을 수 있다. 웨딩 스냅사진 촬영소로 입소문이 나면서 커플 여행자 방문이 많다. 10월부터는 감귤따기 체험프로그램을 운영하기도 한다. 주변 여행지로 엉또폭포, 고근산 등이 있다.
※ 반려동물 야외 정원 동반 가능"
2871791,39,강원수산,20221020142631,20221020142648,,,,,http://tong.visitkorea.or.kr/cms/resource/84/2871784_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/84/2871784_image3_1.jpg,Type3,A05,A0502,A05020300,제주특별자치도 서귀포시 태위로 507,2층,63620,126.7013794656,33.2752913238,6,"강원수산은 남원 금호 제주리조트 근처에 있다. 활숙성어 전문점으로 직접 광어 양어장을 두 곳 운영하고 있으며, 쫀득한 식감과 감칠맛이 있다. 주로 일식 숙성회 메뉴가 많으며 해삼 내장인 고노와다, 고등어 초절임인 시메사바, 시메사바 봉초밥, 카이센동, 후토마끼 등이 있다. 국물 음식으로 남원 크림짬뽕, 규스지 누룽지 오뎅탕 등이 있다. 숙소로 포장해가는 손님이 많으며 예약 방문을 권한다. 주변 여행지로 큰엉해안경승지 등이 있다."
2755045,39,거멍국수,20211008202141,20230127092245,,,,,http://tong.visitkorea.or.kr/cms/resource/35/2755035_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/35/2755035_image2_1.jpg,Type3,A05,A0502,A05020100,제주특별자치도 서귀포시 안덕면 사계로114번길 53-14,,63528,126.3044173509,33.2444162290,6,"제주도의 대표적 명소로 환상적인 경치를 자랑하는 산방산 근처에 있는 거멍국수에서는 독특한 파프리카 면과 깊은 맛을 내는 육수가 어우러진 고기국수를 맛볼 수 있다. 적당한 가격대와 국내산 재료만 사용하는 곳이며 파프리카를 이용해 직접 만든 면으로 국수를 만드는 게 특징이다. 신선한 채소와 수족관에서 바로 잡은 광어로 손질한 회가 가득 올라가 양념장과 함께 새콤달콤한 맛으로 입맛을 사로잡는 회국수 또한 인기가 많다. 깔끔한 외부만큼 식당 내부도 넓고 쾌적하고 주차장도 넓다. 그래서 가족모임이나 단체 회식장소로 좋다. 한 사람이 앉기 좋은 바 테이블도 있다. 어린이를 위한 편의 시설까지 갖추고 있어서 유아, 어린이를 동반한 손님들도 편하게 식사를 할 수 있다. 특히 창밖으로 보이는 산방산 뷰가 정말 좋다."
2873679,39,검은노루,20221024163458,20221024163514,,,,,http://tong.visitkorea.or.kr/cms/resource/69/2873669_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/69/2873669_image3_1.jpg,Type3,A05,A0502,A05020100,제주특별자치도 서귀포시 상모로 257 가원가든,1층,63510,126.2617326224,33.2238983821,6,"검은노루는 대정읍 상모리 대동 정류장에 있다. 제주도 토속음식을 전문으로 하지만 일반적인 차림새와는 조금씩 다른 개성 있는 음식을 선보인다. 중면이 아닌 굵은 칼국수 면발로 나오는 고기칼국수는 국물이 매우 진하고, 기다란 돔베(도마)에 목살, 앞다릿살, 양파, 새우, 버섯이 구워 올려 나오는 고기산적 또한 이색적이다. 정기휴일은 목요일이지만 매일 인스타그램을 통해 오픈 여부를 확인할 수 있다. 주변 여행지로 모슬포항이 있다."
2359165,39,검은여닭(검은여쉼터),20160106201006,20230526095100,064-733-3030,검은여닭(검은여쉼터),,,http://tong.visitkorea.or.kr/cms/resource/96/2046596_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/96/2046596_image3_1.jpg,Type3,A05,A0502,A05020100,제주특별자치도 서귀포시 검은여로 4,,63599,126.5821627247,33.2437595709,6,"※ 영업시간 11:00 ~ 21:00 (전화문의)

제주특별자치도 서귀포시 토평동 검은여 해안 인근에 위치한 검은여닭(검은여쉼터)은 토종 닭도가니와 닭백숙 전문점이다. 올레길 코스에 위치하고 있어 간단하게 끼니를 때울 수 있는 다양한 메뉴를 판매하고 있다. 서귀포 칼호텔, 파라다이스 호텔이 인근에 위치해 있고, 바로 앞이 검은여 해안이기 때문에 관광객들이 즐겨 찾고 있다."
2758836,39,경미네집 / 경미휴게소,20211019185820,20231031112228,,,"<a href=""http://www.instagram.com/gyeongminejib/"" target=""_blank"" title=""새창 : 경미네집 / 경미휴게소 사이트로 이동"">http://www.instagram.com/gyeongminejib/</a>",,http://tong.visitkorea.or.kr/cms/resource/16/2758916_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/16/2758916_image2_1.jpg,Type3,A05,A0502,A05020100,제주특별자치도 서귀포시 성산읍 일출로 259,,63643,126.9334967787,33.4612828593,6,"제주의 대표적인 관광 명소인 성산 일출봉 근처에 있는 경미네 집은 제대로 된 간판도 없이 입소문만으로 유명해진 식당이다. 이 집의 해물 라면은 양은 냄비에 투박하게 끓여 나오는데 싱싱한 문어와 오징어, 조개가 가득 들어있으면서도 저렴한 가격으로 실속 있게 음식을 즐길 수 있다. 인원수대로 라면을 주문하면 밥은 서비스로 나온다. 아삭아삭한 김치와 함께 먹으면 시원함이 배가 된다. 성게가 가득 올라간 성게 밥과 바로 조리하여 쫀득한 식감이 좋은 전복죽도 일품이다. 오래된 분식집처럼 정감 있는 곳에서 맛보는 따뜻한 음식들이 마음마저 따뜻하게 한다."
2870515,39,경성수산,20221019143958,20221019144013,,,,,http://tong.visitkorea.or.kr/cms/resource/09/2870509_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/09/2870509_image3_1.jpg,Type3,A05,A0502,A05020100,제주특별자치도 제주시 한림상로 111,,63032,126.2648059954,33.4099473082,6,"경성수산은 한림종합운동장 근처에 있다. 제주 토박이가 직접 잡은 자연산 해산물, 양식 해산물 등 다양하게 준비하고 있으며 저렴하고 깨끗한 회포장 전문점이다. 식당 내에는 테이블이 4개 정도 있다. 방어, 고등어, 참돔 등 제철 활어를 깨끗하게 손질해 주며 딱새우도 먹기 좋게 껍질을 제거해 준다. 여행자들이 숙소로 포장해 가는 경우가 많으며, 매장에서도 간단히 시식할 수 있다. 포장의 경우, 1시간 이내 취식을 추천한다. 한림항, 옹포항과도 가깝다."
404193,39,고관심해장국,20080120073440,20230610064542,064-772-2825,고관심해장국,"<a href=""http://instagram.com/gosan_bob"" target=""_blank"" title=""새창 : 고관심해장국홈페이지로 이동"">http://instagram.com/gosan_bob</a>",,http://tong.visitkorea.or.kr/cms/resource/42/401542_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/42/401542_image3_1.jpg,Type3,A05,A0502,A05020100,제주특별자치도 제주시 한경면 용고로 86,,63008,126.1795602716,33.3011996689,6,"고관심해장국은 제주시 한경면 고산리 농협 사거리에 위치한 음식점이다. 고관심해장국 식당은 여타 유명한 식당과는 달리 진한 해장국 맛으로만 조용히 입소문이 난 식당이다. 메뉴는 소고기해장국, 선지해장국, 순대국밥 등으로 시골의 진한 국물 맛을 그대로 느낄 수 있다. 제주시 한경면 인근을 여행한다면 아침 식사로 추천하는 음식점이다. 주변 관광지로 단사봉, 엉알해안, 다금바리스타 등이 있다."
1867998,39,고불락,20131206203154,20230803143158,064-799-0393,고불락,,,,,,A05,A0502,A05020100,제주특별자치도 제주시 애월읍 고내로7길 45-12,,63045,126.3366095862,33.4667893686,6,고불락은 애월 해안도로 마을에 위치한 고등어쌈밥집이다. 규모는 작은 편으로 최근 100년 된 고택의 느낌은 그대로 살리되 내부는 깔끔하게 단장하였다고 한다. 이곳은 대한민국에서 유일하게 상추효소밥을 개발하여 판매 중인 곳이다. 상추효소밥은 소화가 잘되는 효소를 넣어 지은 밥을 상추에 싸서 먹는 것이다. 제주도의 일반적인 고등어쌈밥집과는 달리 고등어조림과 상추밥을 같이 먹을 수 있다. 여러 매체가 방영되기도 할 만큼 맛이 좋기로 유명하다. 제주 고등어쌈밥의 변신! 고불락에서 경험해 보길 추천한다.
2863927,39,고사리커피,20221005152921,20221005152932,,,,,http://tong.visitkorea.or.kr/cms/resource/18/2863918_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/18/2863918_image3_1.JPG,Type3,A05,A0502,A05020900,제주특별자치도 제주시 중산간동로 2064,,63355,126.7640945189,33.4734065616,6,"고사리커피는 제주 구좌읍 중산간동로 길가에 있다. 중산간 외딴 곳에 예전 꿀창고로 사용하던 건물을 리모델링했다. 측면으로 낸 통창으로 제주의 숲을 그대로 조망할 수 있다. 시그니처는 고사리커피로 귤피차인 연화차에 에스프레소를 부어 맛의 변화를 즐기는 티커피이다. 쌀로 만든 다쿠아즈는 글루텐프리로 붉은쌀로 만든 것과 흑임자를 넣은 것 두 가지 맛이고, 보통의 다쿠아즈보다 사이즈가 크다. 주변 여행지로 안돌오름(비밀의 숲), 아부오름 등이 있다."
2807119,39,고서방 짬뽕,20220214174339,20240123095830,,,,,,,,A05,A0502,A05020400,제주특별자치도 제주시  인다5길 (11-5),,63247,126.5481687628,33.4759722639,6,고서방 짬뽕은 제주 현지의 신선한 해산물을 재료로 한 짬뽕을 판매하는 중식당이다. 해산물이 가득 담긴 다양한 종류의 짬뽕을 기호에 따라 선택하여 맛볼 수 있다.
2904549,39,고요산책,20221110114314,20221110114333,,,"<a href=""https://www.instagram.com/goyowalk_jeju""target=""_blank"" title=""새창 : 고요산책 사이트로 이동"">https://www.instagram.com/goyowalk_jeju</a>",,http://tong.visitkorea.or.kr/cms/resource/38/2904538_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/38/2904538_image3_1.jpg,Type3,A05,A0502,A05020900,제주특별자치도 제주시 중앙로12길 5,1층,63168,126.5238756154,33.5118484611,6,"고요산책은 제주시 중앙로 천주교 중앙교회 근처에 있다. 북&코워킹 스페이스, 여행자를 위한 북 라운지로 책을 읽을 수 있는 조용한 공간이다. 공간 사용료(5,000원)를 지불하면 음료를 무료로 제공하며 공정무역 커피, 차, 쿠키 등이 준비되어 있다. ㈜제주 착한 여행이 북스테이를 함께 운영하고 있으며 스테이 이용자의 경우 고요산책 북 라운지를 24시간 무료로 이용할 수 있다. 주변 여행지로 제주성지, 삼성혈, 제주 동문시장 등이 있다."
2853453,39,고요새,20220914153413,20240125135402,,,,,http://tong.visitkorea.or.kr/cms/resource/42/2853442_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/42/2853442_image3_1.jpg,Type3,A05,A0502,A05020900,제주특별자치도 제주시 선사로8길 11,,63314,126.5867476162,33.5255451704,6,"고요새는 제주시 삼양 검은 모래 해변 근처에 위치하고 있다. ‘고요한 나의 요새’라는 뜻의 고요새는 조용하고 차분한 분위기의 카페로 1층은 예약 없이 사용할 수 있고, 2층은 목, 금, 토요일에 예약이 필요하다. 1, 2층 모두 차분한 공간을 지향하는 만큼 손님에게는 조용한 대화를 요구하고 있다. 대표 메뉴는 땅콩버터크림라테이며, 이 외에 커피와 음료 및 디저트를 맛볼 수 있다."
135288,39,고우니가든,20060817090000,20230905111851,064-782-1418,고우니가든,,,http://tong.visitkorea.or.kr/cms/resource/69/1934469_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/69/1934469_image3_1.jpg,Type3,A05,A0502,A05020700,제주특별자치도 제주시 조천읍 남조로 2625,,63343,126.6524703491,33.4964050036,6,"말고기는 소와 같은 채식성 육류의 일종으로 소 보다 높은 육질과 영양을 가지고 있다. 고우니가든은 직접 제주 토종 조랑말을 제주도의 청정 지역에서 방목하며, 월 2회 말을 도축하는 날이면 싱싱한 간과 검은 지름, 육회 등을 맛볼 수 있는 기회를 제공한다. 현재 고우니가든에서는 말고기를 비롯, 꿩·토종닭·청둥오리 등 청정지역 제주를 대표할 수 있는 주력 품목 들을 제공하고 있다.<br>"
2759061,39,고이정,20211019221526,20231017154305,,,,,http://tong.visitkorea.or.kr/cms/resource/08/2759208_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/08/2759208_image2_1.jpg,Type3,A05,A0502,A05020100,제주특별자치도 제주시 애월읍 애월로 6,,63043,126.3113536176,33.4593342400,6,"매일 자정까지 운영하는 흑돼지 근고기와 제주 가브리살 전문점이다. 고이정이라는 이름은  ‘고’기 맛이 ‘이’래도 되나 싶을 ‘정’도라는 말을 의미한다. 점심시간에 방문하면 흑돼지, 김치찌개, 공깃밥이 인원수에 맞게 나오는 세트 메뉴 주문이 가능하다. 기본 찬은 쌈무, 양파장아찌, 파절임, 열무김치, 백김치, 옥수수 콘 등이 나오는데 특히 파절임은 새콤해서 고기와 함께 싸 먹기에 알맞다. 고기를 주문하면 숯불 위에 놓인 볏짚에 흑돼지를 초벌구이해 준다. 그리고 다시 불판 위에서 익어가는 근고기는 비계와 살코기의 비율이 좋아 보기만 해도 먹음직스럽다. 청양고추를 송송 썰어 넣은 멸치젓 소스에 듬뿍 찍어 먹으면 제격이다.		

*도민상회 5번째 매장"
2831590,39,고집돌우럭 중문점,20220803110443,20240109102459,,,"<a href=""https://www.gozipfish.com/""target=""_blank"" title=""새창 : 고집돌우럭 사이트로 이동"">https://www.gozipfish.com/</a>",,http://tong.visitkorea.or.kr/cms/resource/40/2832740_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/40/2832740_image3_1.jpg,Type3,A05,A0502,A05020100,제주특별자치도 서귀포시 일주서로 879 청해어장,,63534,126.4167184145,33.2580109376,6,"서귀포 중문관광단지 근처에 있는 고집돌우럭은 제주 제철음식을 전문으로 하는 토속음식점이다. ‘갓 지어 고슬고슬 맛난 밥을 대접한다’, ‘제주에서 가장 신선한 식재료만을 사용하겠다’, ‘눈으로 먹는 음식이 맛도 좋다’는 세 가지 고집을 신념으로 하며 제주 우럭의 참맛을 알리는 데 노력하고 있다. 메뉴는 우럭조림과 낭푼밥을 포함하는 런치와 디너 코스요리 각 네 가지씩 선보이고 있으며 2인분 이상 주문할 수 있다. 주변 여행지로는 중문 색달해수욕장과 대포주상절리가 있다."
2863913,39,고토커피바,20221005152501,20221005152513,,,,,http://tong.visitkorea.or.kr/cms/resource/07/2863907_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/07/2863907_image3_1.jpg,Type3,A05,A0502,A05020900,제주특별자치도 제주시 구엄동3길 56,1층,63049,126.3809026350,33.4810246035,6,"고토커피바는 구엄포구 근처 골목길 안쪽에 있다. 가정집을 일본풍으로 개조했다. 가장 상징적인 인테리어는 커피 바 앞쪽의 통창 스테인드글라스이다. 거실이었던 곳은 커피 바가 있고 테이블이 있는 두 개의 방은 가정집처럼 깔끔하게 꾸몄다. 정원에도 테이블이 있다. 필터커피(핸드드립)와 아인슈페너가 시그니처이며, 커피와 어울리는 테린느와 푸딩, 쿠키가 있다. 케어 키즈존으로 운영하고 있으며, 반려동물과 함께라면 테라스와 정원 테이블 이용이 가능하다. 주변 여행지로 구엄포구, 돌염전, 수산봉 등이 있다."
2857277,39,곤밥2,20220921145636,20220921145646,,,,,http://tong.visitkorea.or.kr/cms/resource/72/2857272_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/72/2857272_image3_1.jpg,Type3,A05,A0502,A05020100,제주특별자치도 제주시 서부두남길 8,,63277,126.5276557708,33.5149592877,6,"곤밥2는 제주 원도심 산지천 부근 북수구광장 앞에 있다. 곤밥은 고운밥, 즉 쌀밥의 제주 방언이다. 만 원 이하의 정식에 흑돼지두루치기와 옥돔구이가 포함되고 푸짐한 상차림으로 칠성로 가성비 정식집으로 유명하다. 반찬 추가 주문이 가능하며 혼밥도 가능하다. 인기가 좋아 늘 현장 대기가 길며, 줄서기 시스템을 사용하고 있다. 주변 여행지로 제주원도심, 칠성통, 제주동문시장, 관덕정, 제주목관아 등이 있다."
1868009,39,골막식당,20131206221658,20230320163421,064-753-6949,골막식당,,,,,,A05,A0502,A05020100,제주특별자치도 제주시 천수로 12,,63215,126.5384467843,33.5024497344,6,제주 동부 경찰서 인근에 있는 한식당이다. 제주식 고기 국수를 전문으로 한다. 돼지 사골과 멸치로 낸 진한 육수에 우동면에 가까운 통통한 국수를 만 후 돼지수육을 올려내는 고기 국수는 취향에 따라 고춧가루를 넣어 먹으면 얼큰한 맛을 살려서 먹을 수 있다.
2857289,39,골목식당,20220921150225,20220923102209,,,,,http://tong.visitkorea.or.kr/cms/resource/79/2857279_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/79/2857279_image3_1.JPG,Type3,A05,A0502,A05020100,제주특별자치도 제주시 중앙로 63-9,,63192,126.5250282923,33.5118512570,6,"골목식당은 제주 동문재래시장 중앙로 쪽 끝 동문 골목시장 안에 있다. 제주 로컬푸드인 꿩 메밀 칼국수를 만드는 곳으로 흔치 않은 메뉴의 도민 맛집이다. 50년 이상 이곳에서 장사하고 있으며 주인 할머니가 온종일 꿩고기와 꿩 뼈를 우려 육수를 내고, 손반죽해 메밀국수를 만든다. 밀가루 국수와는 달리 메밀국수는 툭툭 끊기기 때문에 숟가락으로 퍼먹어야 하며 육수와 메밀이 어우러져 걸쭉하고 구수한 맛이 난다. 주변 여행지로 제주 원도심, 관덕정 등이 있다."
2852311,39,골목카페옥수,20220908161502,20220908161513,,,,,http://tong.visitkorea.or.kr/cms/resource/03/2852303_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/03/2852303_image3_1.jpg,Type3,A05,A0502,A05020900,제주특별자치도 제주시 소길1길 19,,63037,126.3799286479,33.4397708216,6,"골목카페옥수는 소길리종합복지회관 근처 골목 안쪽에 있다. 할머니 옛집을 개조하여 카페를 운영하고 있으며 작은 마당에는 귤나무와 꽃들이 있고, 검은 개 모모가 반긴다. 오래된 카펫, 자개장 문을 뜯어 만든 테이블, 할머니 빗자루, 모티브 가방 등 빈티지한 소품이 오래된 집과 조화를 이룬다. 당일 만든 에그타르트가 유명하며 시그니처인 할매라떼는 미숫가루와 에스프레소를 섞은 진한 음료이다. 주변 여행지로 상가리야자숲, 고내봉이 있다.
※ 반려동물 동반 불가"
